2026-07-29 18:44:20,060 - Attack Detected | Rule: attack | Data: attack
2026-07-29 18:48:36,823 - Attack Detected | Rule: attack | Data: attack
2026-07-29 18:53:20,702 - Attack Detected | Rule: attack | Data: attack
2026-07-29 19:13:28,751 - Attack Detected | Rule: attack | Data: attack
2026-07-29 19:29:11,242 - Attack Detected | Rule: attack | Data: attack
2026-07-29 20:17:32,051 - Attack Detected | Rule: attack | Data: attack
2026-07-30 07:31:47,043 - Attack Detected | Rule: attack | Data: attack
2026-07-30 07:36:26,427 - Attack Detected | Rule: attack | Data: attack
2026-07-30 09:47:47,149 - Attack Detected | Rule: attack | Data: attack
2026-07-30 10:15:30,597 - Attack Detected | Rule: attack | Data: attack
2026-07-30 10:19:55,899 - Attack Detected | Rule: attack | Data: attack
2026-07-30 10:23:11,508 - Attack Detected | Rule: attack | Data: attack
